         20636979 function calls (20628057 primitive calls) in 9.734 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      257    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hmac.py:20(<genexpr>)
       16    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      2/1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_compiler.py:37(_compile)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_compiler.py:578(_code)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      105    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      5/1    0.000    0.000    0.020    0.020 <frozen importlib._bootstrap_external>:993(exec_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       10    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
      5/1    0.000    0.000    0.020    0.020 {built-in method builtins.exec}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      105    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
     10/6    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap_external>:1299(exec_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_compiler.py:745(compile)
        1    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\python_impl\rrt_star_numpy_opt.py:116(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_compiler.py:516(_compile_info)
        4    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\getlimits.py:697(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_parser.py:969(parse)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       74    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\__init__.py:280(_compile)
